3,,LA,*DRIVE,,,TRIP CHARGE,,0,0,0,0,50,,,,,,*DRIVE,,0,0,N,N,EA,EA,EA,1,1,50,50,,50,50,50,50,50,45,45,27.5,27.5,27.5,27.5,27.5,27.5,,,24,16512.5,330,7430.62,,0.45,,,0,,07/27/22,07/27/22,,,,,,24,33,58,119,68,28,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,330,50,9081.88,9081.88,0,0,0,0,0,0,,,,0,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,07/27/22,,,330,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
1,,LA,*INFLABOR,,,INFLATION LABOR,,0,0,0,0,1,,,,,,*INFLABOR,,0,0,N,N,EA,EA,EA,1,1,1,1,,1,1,1,1,1,45,45,0.55,0.55,0.55,0.55,0.55,0.55,,,0,,0,,,,,,0,,12/13/22,12/13/22,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,,0,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,N,O,Y,12/13/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
2,,LA,*INFLABOR,,,INFLATION LABOR,,0,0,0,0,1,,,,,,*INFLABOR,,0,1,N,N,EA,EA,EA,1,1,1,1,,1,1,1,1,1,45,45,0.55,0.55,0.55,0.55,0.55,0.55,,,0,,0,,,,,,0,,12/13/22,12/13/22,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,N,O,Y,12/13/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
3,,LA,*INFLABOR,,,INFLATION LABOR,,0,0,0,0,1,,,,,,*INFLABOR,,0,1,N,N,EA,EA,EA,1,1,1,1,,1,1,1,1,1,45,45,0.55,0.55,0.55,0.55,0.55,0.55,,,0,,0,,,,,,0,,12/13/22,12/13/22,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,N,O,Y,12/13/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
1,,LA,*ITSERVICE,,,REMOTE ACCESS - IT SERVICE HRS.,,0,0,0,0,83,,,,,,*ITSERVICE,,0,0,N,N,EA,EA,EA,1,1,83,83,,83,83,83,83,83,0.01,99.999,0.001,0.001,0.001,0.001,0.001,0.001,,,0,622.5,9,622.5,,1,,,0,,10/01/19,11/15/16,,,,,,0,0,0,2,0,0,0,0,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,1,2,0,0,3,1,0,2,3,1,0,6,1,,,0,0,92,8,,,13,1106,0,0,0,0,,,,0,EA,,0,,0,0,Y,78,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,11/15/16,,,9,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
2,,LA,*ITSERVICE,,,REMOTE ACCESS - IT SERVICE HRS.,,0,0,0,0,83,,,,,,*ITSERVICE,,0,1,N,N,EA,EA,EA,1,1,83,83,,83,83,83,83,83,0.01,50.301,0.001,0.001,0.001,41.25,41.25,41.25,,X,0,,0,,,,,,0,,10/01/19,11/15/16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,78,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,11/15/16,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
3,,LA,*ITSERVICE,,,REMOTE ACCESS - IT SERVICE HRS.,,0,0,0,0,83,,,,,,*ITSERVICE,,0,1,N,N,EA,EA,EA,1,1,83,83,,83,83,83,83,83,0.01,50.301,0.001,0.001,0.001,41.25,41.25,41.25,,X,0,,0,,,,,,0,,10/01/19,11/15/16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,78,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,11/15/16,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
1,,LA,*LABORNOCHARGE,,,LABOR NO CHARGE,,0,0,0,0,,,,,,,*LABORNOCHARGE,,0,0,N,N,EA,EA,EA,1,1,,,,,,,,,45,0,,,,,,,,,101,100.7,612,-19.24,,-0.191,,,0,,,09/09/19,,,,,,101,44,31,9,109,47,46,84,51,50,16,24,91,,,,,,,,,,,,,,,,,,,,48,96,34,64,74,45,31,113,9,14,67,62,10,,,0,0,1921,174,119.94,119.94,686,0,127,127,0,0,,,,0,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,,,,612,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
2,,LA,*LABORNOCHARGE,,,LABOR NO CHARGE,,0,0,0,0,,,,,,,*LABORNOCHARGE,,0,1,N,N,EA,EA,EA,1,1,,,,,,,,,45,0,,,,,,,,X,0,,0,,,,,,0,,,09/09/19,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
3,,LA,*LABORNOCHARGE,,,LABOR NO CHARGE,,-64,0,0,-64,,,,,,,*LABORNOCHARGE,,0,1,N,N,EA,EA,EA,1,1,,,,,,,,,45,0,,,,,,,,A,0,,50,-0.25,,,,,0,09/29/22,,09/09/19,,,,,,0,0,0,49,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,8,0,0,0,0,0,,,,0,64,2,0.25,0.25,8,0,0,0,0,,,,,,EA,,0,,0,0,Y,,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,,,,50,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N
